Spp1,Spp2,D,p-val_D,I,p-val_I
P_arc,P_dun,0.07,0.17,0.24,0.16
P_arc,P_hes,0.33,0.04,0.55,0.04
P_arc,P_lan,0.06,0.25,0.24,0.23
P_arc,P_nas,0,0.56,0.04,0.59
P_arc,P_oph,0.18,0.13,0.36,0.14
P_arc,P_por,0,1,0,1
P_arc,P_yuc,0.23,0.07,0.31,0.24
P_dun,P_arc,0.07,0.13,0.24,0.1
P_dun,P_hes,0.2,0.13,0.41,0.12
P_dun,P_lan,0.38,0.08,0.57,0.09
P_dun,P_nas,0.03,0.73,0.06,0.74
P_dun,P_oph,0.22,0.15,0.42,0.14
P_dun,P_por,0,1,0,0.84
P_dun,P_yuc,0.02,0.61,0.13,0.39
P_hes,P_arc,0.33,0.09,0.55,0.1
P_hes,P_dun,0.2,0.17,0.41,0.14
P_hes,P_lan,0.12,0.32,0.33,0.29
P_hes,P_nas,0.01,0.54,0.08,0.57
P_hes,P_oph,0.5,0.05,0.62,0.05
P_hes,P_por,0,1,0,0.54
P_hes,P_yuc,0.21,0.05,0.44,0.05
P_lan,P_arc,0.06,0.04,0.24,0.02
P_lan,P_dun,0.38,0.05,0.57,0.06
P_lan,P_hes,0.12,0.12,0.33,0.09
P_lan,P_nas,0.2,0.14,0.33,0.26
P_lan,P_oph,0.27,0.12,0.48,0.12
P_lan,P_por,0.03,0.31,0.16,0.35
P_lan,P_yuc,0.03,0.58,0.15,0.37
P_nas,P_arc,0,0.81,0.04,0.79
P_nas,P_dun,0.03,0.71,0.06,0.74
P_nas,P_hes,0.01,0.35,0.08,0.38
P_nas,P_lan,0.2,0.59,0.33,0.61
P_nas,P_oph,0.08,0.39,0.19,0.45
P_nas,P_por,0.03,0.33,0.16,0.31
P_nas,P_yuc,0.01,0.45,0.05,0.38
P_oph,P_arc,0.18,0.25,0.36,0.29
P_oph,P_dun,0.22,0.2,0.42,0.23
P_oph,P_hes,0.5,0.02,0.62,0.05
P_oph,P_lan,0.27,0.15,0.48,0.12
P_oph,P_nas,0.08,0.19,0.19,0.28
P_oph,P_por,0,1,0,1
P_oph,P_yuc,0.23,0.27,0.45,0.12
P_por,P_arc,0,1,0,1
P_por,P_dun,0,1,0,0.57
P_por,P_hes,0,1,0,0.28
P_por,P_lan,0.03,0.33,0.16,0.34
P_por,P_nas,0.03,0.02,0.16,0.02
P_por,P_oph,0,1,0,1
P_por,P_yuc,0,1,0,1
P_yuc,P_arc,0.23,0.22,0.31,0.23
P_yuc,P_dun,0.02,0.26,0.13,0.24
P_yuc,P_hes,0.21,0.01,0.44,0.01
P_yuc,P_lan,0.03,0.36,0.15,0.31
P_yuc,P_nas,0.01,0.36,0.05,0.41
P_yuc,P_oph,0.23,0.01,0.45,0.01
P_yuc,P_por,0,1,0,1
