test,Spp1,Spp2,full,union,p_full,p_union
P_arc→P_dun,P_arc,P_dun,0.000647783,0.03451572,0,0.265346535
P_arc→P_hes,P_arc,P_hes,0,0,0,0
P_arc→P_lan,P_arc,P_lan,0.000230735,0.002630707,0,0
P_arc→P_nas,P_arc,P_nas,0.00013976,0.005640999,0,0
P_arc→P_oph,P_arc,P_oph,0.000332692,0.008087701,0,0.99009901
P_arc→P_por,P_arc,P_por,0,0,0,0
P_arc→P_yuc,P_arc,P_yuc,0,0,0,0.307920792
P_dun��P_hes,P_dun,P_hes,0.011174986,0.125492588,0,0
P_dun��P_lan,P_dun,P_lan,0.045976862,0.021370065,0,0
P_dun��P_nas,P_dun,P_nas,0.02977722,0.095067331,0,0
P_dun��P_oph,P_dun,P_oph,0.111658456,0.181930697,0,0
P_dun��P_por,P_dun,P_por,0,0,0,0
P_dun��P_yuc,P_dun,P_yuc,0,0,0,0
P_hes→P_lan,P_hes,P_lan,0.001104558,0.002451849,0,0
P_hes→P_nas,P_hes,P_nas,0.000687972,0.014158488,0,0
P_hes→P_oph,P_hes,P_oph,0.014020783,0.077463948,0,0.99009901
P_hes→P_por,P_hes,P_por,0,0,0,0.062376238
P_hes→P_yuc,P_hes,P_yuc,0,0,0,0.977227723
P_lan→P_nas,P_lan,P_nas,0.120039255,0.653390142,0,0.99009901
P_lan→P_oph,P_lan,P_oph,0.078783187,0.238552116,0,0
P_lan→P_por,P_lan,P_por,0.000136084,0.00098968,0,0
P_lan→P_yuc,P_lan,P_yuc,0,0,0,0.016831683
P_nas→P_oph,P_nas,P_oph,0.040368288,0.239779602,0,0.910891089
P_nas→P_por,P_nas,P_por,0.00010525,0.001804945,0,0
P_nas→P_yuc,P_nas,P_yuc,0.000115824,0.036650343,0,0
P_oph→P_por,P_oph,P_oph,4.48E-05,0.000287689,0,0.99009901
P_por→P_yuc,P_oph,P_yuc,0,0,0,0.99009901
